lambda,Psi,Delta,n_S,k_S
480,79.90235251438942,-11.099225720946432,4.4449,0.0631
481,80.07477113186876,-7.736606742096946,4.4379,0.0622
482,80.21635745353925,-4.291995087308022,4.431,0.0614
483,80.31644663426091,-0.5832725690197981,4.4242,0.0606
484,80.38969287434946,2.983632123168686,4.4175,0.0598
485,80.41773457263004,6.749297875793208,4.4108,0.059
486,80.42115733251428,10.338628564161146,4.4043,0.0582
487,80.37751059635008,14.061614652255615,4.3978,0.0574
488,80.31380087472064,17.56791657134573,4.3914,0.0567
489,80.21918878369759,20.998469791070168,4.385,0.056
490,80.0761505241771,24.477351602487868,4.3788,0.0552
491,79.92266124846469,27.70322454465911,4.3726,0.0545
492,79.72126464772842,30.932863621466733,4.3664,0.0539
493,79.51561840020582,33.906318124650326,4.3604,0.0532
494,79.28833463655081,36.74543327628969,4.3544,0.0525
495,79.01687679812424,39.54587549706832,4.3485,0.0519
496,78.75076381010689,42.10995615788829,4.3427,0.0512
497,78.4422413256573,44.6261872666529,4.3369,0.0506
498,78.14419570976224,46.918681657103136,4.3312,0.05
499,77.83363458279327,49.09594373229416,4.3255,0.0493
500,77.48604025385185,51.2102920833117,4.3199,0.0487
501,77.15352642212956,53.14732865837671,4.3144,0.0482
502,76.78601539197871,55.031403492807854,4.3089,0.0476
503,76.43679517766074,56.75783111639814,4.3035,0.047
504,76.08205620549718,58.39022165676207,4.2982,0.0464
505,75.69547075168063,59.97466183565405,4.2929,0.0459
506,75.33132787075458,61.43530885348244,4.2876,0.0453
507,74.96226530893021,62.81957623737922,4.2825,0.0448
508,74.56521714567256,64.16017153993737,4.2773,0.0443
509,74.1914784891393,65.40489249264058,4.2723,0.0438
510,73.79044813572841,66.60851467291765,4.2672,0.0433
511,73.41494035267372,67.72942504869582,4.2623,0.0428
512,73.0383773531962,68.79775882767312,4.2574,0.0423
513,72.63600309524875,69.83330687072116,4.2525,0.0418
514,72.2592575852352,70.80200904008275,4.2477,0.0413
515,71.88316948766973,71.72533728625096,4.2429,0.0408
516,71.48367067817497,72.62207003705683,4.2382,0.0404
517,71.10969607456487,73.4681863623597,4.2335,0.0399
518,70.73725520828563,74.27684458265956,4.2289,0.0395
519,70.34265589001919,75.05840139175044,4.2243,0.039
520,69.97367430718657,75.80000193829683,4.2198,0.0386
521,69.60698986596029,76.5143187226432,4.2153,0.0382
522,69.21941185646207,77.20449163664155,4.2109,0.0377
523,68.8578454508727,77.86103347674315,4.2065,0.0373
524,68.49837002492049,78.49342944770548,4.2021,0.0369
525,68.11856848569798,79.10597941921247,4.1978,0.0365
526,67.76445478210702,79.69156150448183,4.1935,0.0361
527,67.4133544635986,80.25848114173573,4.1893,0.0357
528,67.04352980748797,80.80571264868753,4.1851,0.0353
529,66.6983573611316,81.32970796129982,4.181,0.035
530,66.35579826814666,81.83966521873664,4.1769,0.0346
531,65.99606091245194,82.33006187355055,4.1728,0.0342
532,65.66032628984534,82.80771335969658,4.1687,0.0339
533,65.32744394734904,83.26748588402876,4.1647,0.0335
534,64.97815653027364,83.7121717541618,4.1608,0.0331
535,64.65180435654449,84.14278239371039,4.1569,0.0328
536,64.3294525660217,84.5609167535997,4.153,0.0325
537,63.98972189227339,84.96599792515649,4.1491,0.0321
538,63.67401237683967,85.35881129495608,4.1453,0.0318
539,63.36122220249556,85.74054688385132,4.1415,0.0315
540,63.051359442422715,86.11165978242421,4.1378,0.0311
541,62.72568935584815,86.46950765734158,4.1341,0.0308
542,62.42297414569003,86.82084500797313,4.1304,0.0305
543,62.12334877258188,87.16027980870767,4.1267,0.0302
544,61.80900667575982,87.48863162565894,4.1231,0.0299
545,61.515433164313876,87.81037100551757,4.1195,0.0296
546,61.225790889558134,88.12431775496151,4.116,0.0293
547,60.92160608310291,88.42623918496045,4.1125,0.029
548,60.637918897534064,88.72445535951563,4.109,0.0287
549,60.35769024004783,89.01438913502002,4.1055,0.0284
550,60.08029394589288,89.29724327853855,4.1021,0.0281
